constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
Madavaram,IND,15,0,False,Wallet,V.Murthy,Male,90145,Not Specified,56,,,"₹4,000",,independent,9
Thiruvottiyur,AIADMK,1,0,False,Two leaves,Kuppan. K,Male,90146,Bachelor's Degree,72,,,₹1.33 Cr,,nda,10
Thiruvottiyur,NTK,2,0,False,Farmer Carrying Plough,Sathya. B,Female,90147,10th Grade (SSLC),40,,,₹1.69 Cr,,ntk,10
Thiruvottiyur,CPI(M),3,0,False,Hammer Sickle and Star,Sundararaj. L,Male,90148,10th Grade (SSLC),59,,,₹81.61 L,,spa,10
Thiruvottiyur,BSP,4,0,False,Elephant,Mahendra Kumar. D,Male,90149,10th Grade (SSLC),46,,,₹1.28 L,,others,10
Thiruvottiyur,VTVTK,5,0,False,Pestle and mortar,Sasirekha. M,Female,90150,10th Grade (SSLC),55,,,"₹35,000",,others,10
Thiruvottiyur,TVK,6,0,False,Whistle,Senthil Kumar. N,Male,90151,Bachelor's Degree,46,,,₹83.21 L,,tvk,10
Thiruvottiyur,DMA,7,0,False,Ship,Dilli Kumar. R,Male,90152,10th Grade (SSLC),41,,,₹nan,,others,10
Thiruvottiyur,TAVK,8,0,False,Camera,Venkataramanan. J,Male,90153,Bachelor's Degree,28,,,₹2.45 L,,others,10
Thiruvottiyur,IND,9,0,False,Matchbox,Aravind. R,Male,90154,Bachelor's Degree,32,,,"₹2,000",,independent,10
Thiruvottiyur,IND,10,0,False,Gramophone,Gopi. K,Male,90155,Bachelor's Degree,36,,,₹1.69 L,,independent,10
Thiruvottiyur,IND,11,0,False,Door bell,Thanikasalam. B,Male,90156,Diploma / ITI,46,,,"₹10,000",,independent,10
Thiruvottiyur,IND,12,0,False,Boat with man and sail,Balaruban,Male,90157,Bachelor's Degree,32,,,₹nan,,independent,10
Thiruvottiyur,IND,13,0,False,Gas cylinder,Michaelraj. M.A,Male,90158,Bachelor's Degree,57,,,₹12.44 Cr,,independent,10
Thiruvottiyur,IND,14,0,False,Electric pole,Vijay. A,Male,90159,12th Grade (HSC / +2),31,,,"₹18,043",,independent,10
Thiruvottiyur,IND,15,0,False,Wool and Needle,Janagaraj,Male,90160,8th Grade,46,,,₹40.00 L,,independent,10
RK Nagar,AIADMK,1,0,False,Two leaves,R.S.Raajesh,Male,90161,Diploma / ITI,54,,,₹7.67 Cr,,nda,11
RK Nagar,NTK,2,0,False,Farmer Carrying Plough,Vennila.T,Female,90162,Master's Degree,42,,,₹1.01 Cr,,ntk,11
RK Nagar,DMK,3,0,False,Rising sun,J.John Ebenezer,Male,90163,Master's Degree,50,,,₹1.16 Cr,,spa,11
RK Nagar,MANK,4,0,False,Diamond,E.Raamadasan,Male,90164,Bachelor's Degree,73,,,₹nan,,others,11
RK Nagar,SP,5,0,False,Calculator,D.Karthikeyan,Male,90165,Bachelor's Degree,26,,,₹5.35 L,,others,11
RK Nagar,TMMK,6,0,False,Matchbox,Chandrasekar,Male,90166,Not Specified,51,,,₹6.06 L,,others,11
RK Nagar,TAVK,7,0,False,Camera,B.Navin,Male,90167,Bachelor's Degree,30,,,₹8.30 L,,others,11
RK Nagar,TVK,8,0,False,Whistle,N.Marie Wilson,Male,90168,Doctorate (Ph.D / MD),46,,,₹4.71 Cr,,tvk,11
RK Nagar,SUCI(C),9,0,False,Scissors,A.Mohanraj,Male,90169,Not Specified,55,,,₹nan,,others,11
RK Nagar,IND,10,0,False,Triangle,Amudha.N,Female,90170,10th Grade (SSLC),43,,,₹6.40 L,,independent,11
RK Nagar,IND,11,0,False,Biscuit,D.Ajith Kumar,Male,90171,Not Specified,26,,,₹nan,,independent,11
RK Nagar,IND,12,0,False,Ship,S.Emmanuvel,Male,90172,10th Grade (SSLC),42,,,₹10.46 L,,independent,11
RK Nagar,IND,13,0,False,Baby walker,A.Usha,Female,90173,10th Grade (SSLC),38,,,₹10.55 L,,independent,11
